# location	source(repo:path)	first-60-chars	normalized
events.json/evt-01/quote_governing_principle	field-research:memory/downstream-commitments.md	once here must not go unstated twice downstream.	no
events.json/evt-01/quote_governing_principle_context	field-research:memory/downstream-commitments.md	The governing principle (session 22, adopted as the session'	no
events.json/evt-01/quote_condition_1_live_status	field-research:memory/downstream-commitments.md	Live status travels with every derived operation, at equal p	no
events.json/evt-01/quote_condition_1_continuation	field-research:memory/downstream-commitments.md	not a status frozen at the moment of translation.	no
events.json/evt-01/quote_condition_3_instrument_011	field-research:memory/downstream-commitments.md	Instrument 011 ("The Backward Docket") and its card 001 shou	no
events.json/evt-02/quote_verdict	studio:memory/dossiers/no-way-of-knowing.md	HOLD — 6 conditions; critique published in journal	no
events.json/evt-02/quote_condition_1	studio:memory/dossiers/no-way-of-knowing.md	Primary-source upgrade:	no
events.json/evt-02/quote_condition_1_text	studio:memory/dossiers/no-way-of-knowing.md	fetch the Moore/Bloomberg quote and the original outlet of	no
events.json/evt-02/quote_condition_2	studio:memory/dossiers/no-way-of-knowing.md	Re-argue daylight from Airwars' piece AS A CATALOGUED ATLAS 	no
events.json/evt-02/quote_condition_2_atlas_reference	studio:memory/dossiers/no-way-of-knowing.md	the atlas lists "The First Civilian Confirmed Killed in an A	no
events.json/evt-02/quote_hidden_neighbors	studio:memory/dossiers/no-way-of-knowing.md	Hidden neighbors the Kritiker surfaced (must be named in any	no
events.json/evt-02/quote_upgrade_path	studio:memory/dossiers/no-way-of-knowing.md	upgrade via Meridian later if the work matures	no
events.json/evt-02/quote_own_tier	studio:memory/dossiers/no-way-of-knowing.md	SOURCED tier by the studio's own	no
events.json/evt-03/quote_wall	studio:journal/2026-07-15.md	the org egress policy 403-blocks every external news and pri	no
events.json/evt-03/quote_condition_status	studio:journal/2026-07-15.md	condition 1 is not discharged	no
events.json/evt-03/quote_condition_status_register	studio:journal/2026-07-15.md	Condition 1 (primary-source upgrade): OPEN.	no
events.json/evt-03/quote_held	studio:journal/2026-07-15.md	The concept stays HELD; nothing opens tonight.	no
events.json/evt-03/quote_routed	studio:journal/2026-07-15.md	nothing is gate-ready. Routed to Frank	no
