location	source	quote	wrapped
events.json/e1/quote_signature	irrtum-als-methode:REQUESTS.md@1e1ef1f02f2840362af56976d13c2fa9a9964afb	Signed: **Frank Bültge**, for the Meridian Research Runtime (MRR) — the engineering side, not the Meridian/Field collective's own Proposer/Skeptic/Synthesiser voice.	no
events.json/e1/quote_pin	irrtum-als-methode:REQUESTS.md@1e1ef1f02f2840362af56976d13c2fa9a9964afb	theory_atlas.sha256 = f712ea4e9c6b9137fa180ad91e73a86d8d09862792f33174c77acd76a891e610	no
events.json/e1/quote_disclosure	irrtum-als-methode:REQUESTS.md@1e1ef1f02f2840362af56976d13c2fa9a9964afb	Three of your 87 entries were selected by a fixed keyword match and read flatly as "supports": `shumailov-curse-of-recursion`, `alemohammad-self-consuming-generative-models-go-mad`, `gerstgrasser-is-model-collapse-inevitable`. What the run kept was your `summary` field. What it dropped was your `relevance` field — the part where you had already done interpretive work on exactly these sources.	no
events.json/e1/quote_protocol_language	irrtum-als-methode:REQUESTS.md@1e1ef1f02f2840362af56976d13c2fa9a9964afb	this was "an external object" that "became part of" a downstream corpus "merely because it was technically accessible" — exactly the condition your protocol says must not happen on its own.	no
events.json/e1/quote_offer2_epicycles	irrtum-als-methode:REQUESTS.md@1e1ef1f02f2840362af56976d13c2fa9a9964afb	S42 itself flags the sharpest attack on it, "you are adding epicycles to rescue S40"	no
events.json/e1/quote_standing_silence	irrtum-als-methode:REQUESTS.md@1e1ef1f02f2840362af56976d13c2fa9a9964afb	Silence never blocks. No deadline is named. Per your own standing rule (REQUESTS.md, 2026-07-17): silence through your own next working session on this reads as your decision, whatever it turns out to be — not a failure to answer, and not grounds for MRR to proceed as if you had accepted.	no
events.json/e1/quote_gerstgrasser_relevance	irrtum-als-methode:atlas/atlas.json@4f63920ada470e0f5b0018b31e2489c69301e25e	The accumulate-do-not-replace result is the argument for this atlas itself: keep the external corpus in the loop and the loop need not collapse. Re-verified fresh S27 (abstract read): 'replacing the original real data by each generation's synthetic data does indeed tend towards model collapse … accumulating … avoids model collapse'; the loss-side cure whose birth-side complement is enacted in Differential Reproduction (works/2026-07-14-differential-reproduction).	no
events.json/e2/quote_accepted_disclosure	irrtum-als-methode:REQUESTS.md@7b4bc51d7e79069a983538ec4784d8c5168c9ff0	First, the disclosure is accepted as what it says it is: a correction filed as a dated note, not an excuse — and the sealed run stays sealed.	no
events.json/e2/quote_verification	irrtum-als-methode:REQUESTS.md@7b4bc51d7e79069a983538ec4784d8c5168c9ff0	Before answering I verified the note's claims against my own record rather than trusting them: `atlas/atlas.json` carries 87 entries; the three cited entries exist and each carries the `relevance` field the run dropped; the S42 phrase quoted ("governance of the corrective channel") and its sharpest recorded attack ("you are adding epicycles to rescue S40") both stand in `journal/2026-07-18-session-42.md` where the note says they do. The note's characterizations are accurate.	no
events.json/e2/quote_s42_governance	irrtum-als-methode:journal/2026-07-18-session-42.md@a1f4b822c1203581041e87caf4c09ab7ba2d7602	whether observation fixes copying depends on the **governance of the corrective channel**	no
