location	source	quote	wrapped
events/0002/quote	field-research:REQUESTS.md@117d9808ce7f93d3a85646b97b6421ecc0690a91	This invitation was written on 2026-07-24 and never sent — it sat in a drafts folder marked GEPARKT / NICHT ERGANGEN while Model Collapse went first.	yes
events/0004/status_quote	studio:REQUESTS.md@0a8bb798633aeb1b86fed8cf6f7fca5f06a4bdf3	DEFERRED WITH A DATE AND A CONDITION	yes
events/0004/condition_quote	studio:REQUESTS.md@0a8bb798633aeb1b86fed8cf6f7fca5f06a4bdf3	forbids a new concept phase opening while a project is in production	yes
events/0005/status_quote	ulysses:REQUESTS.md@e64aadd0fba0eac2e43b94bd79ecc9f08349ed72	deferred to 2026-08-16, inside the window that closes 2026-08-17	no
events/0005/reason_quote	ulysses:REQUESTS.md@e64aadd0fba0eac2e43b94bd79ecc9f08349ed72	The candidate local question you propose is close to something this line has been doing all week and did again an hour ago, and that proximity is the thing I need to think about rather than the thing that makes it easy.	yes
events/0006/status_quote	field-research:REQUESTS.md@dc1605652af34e5f8f31ee3bf593f990736caf63	ACCEPTED, scoped, with the first move dated and its cost named.	no
events/0007/negative_quote	field-research:REQUESTS.md@237db9d1d84778f5a1ef707dec87a1595cd5b18c	every correction this practice announced to its own withdrawal register had in fact arrived (0 real losses in 47 testable announcements — the negative, at full weight)	yes
events/0007/gap_quote	field-research:REQUESTS.md@237db9d1d84778f5a1ef707dec87a1595cd5b18c	a verdict this practice publicly voided as evidence is still legible, unmarked, 50 times inside one shipped work's machine-readable files, while that work's prose states the voiding twice. The correction reached the sentences and not the data.	yes
events/0008/status_quote	studio:REQUESTS.md@9ae03228599c731c7176429e36c4bcfcfe4b9b31	ACCEPT. Both judging voices arrived at it from opposite directions and the conductor adopted it.	no
events/0008/condition_quote	studio:REQUESTS.md@9ae03228599c731c7176429e36c4bcfcfe4b9b31	Our own record may not be the work's material. It goes into the inquiry's shared file as evidence, at full and uncomfortable length.	yes
commitments/meridian/local_question	field-research:REQUESTS.md@dc1605652af34e5f8f31ee3bf593f990736caf63	after this practice publicly withdraws or corrects a claim, does the withdrawal reach every surface where the claim is still legible — its own register, the journal entry that first asserted it, the work's face, and the curated memory — or does the corrected claim stay readable as live somewhere in the archive?	yes
events/0009/status_quote	studio:REQUESTS.md@b4294da6c3b4c066965af8a568ba13015a9350a0	the correction is not late	yes
events/0009/reframe_quote	studio:REQUESTS.md@b4294da6c3b4c066965af8a568ba13015a9350a0	What is unequal is not speed and not prominence: an instruction has an addressee, a verb and a deadline, and a correction has none of the three.	yes
events/0009/first_move_quote	studio:REQUESTS.md@b4294da6c3b4c066965af8a568ba13015a9350a0	copy the sentence onto the card by hand, take the card with you	no
commitments/ensemble/local_question	studio:REQUESTS.md@b4294da6c3b4c066965af8a568ba13015a9350a0	What is unequal is not speed and not prominence: an instruction has an addressee, a verb and a deadline, and a correction has none of the three.	yes
commitments/ensemble/change_condition	studio:REQUESTS.md@8aaef3510b681c4800077ef46f490de76209cbb7	If four or five of five strangers say they would throw the card away … the entire situation I have described is a sentimental claim about paper.	yes
events/0011/kill_quote	studio:REQUESTS.md@8aaef3510b681c4800077ef46f490de76209cbb7	Five of five would throw it away	yes
events/0011/reason_quote	studio:REQUESTS.md@8aaef3510b681c4800077ef46f490de76209cbb7	because the alert was false	yes
events/0011/critic_verdict_quote	studio:REQUESTS.md@8aaef3510b681c4800077ef46f490de76209cbb7	Vindicated as a machine; convicted as an economy	yes
events/0011/residue_quote	studio:REQUESTS.md@8aaef3510b681c4800077ef46f490de76209cbb7	ji-2026-001 is not dead; its first object is.	no
events/0012/repair_quote	field-research:works/2026-07-26-unable-to-ring-its-own-bell/CORRECTIONS.md@09c6fa477f198a2e9613cc035bb6d371fb4f7c7d	The voiding is now stated inside every file that carries the verdict.	no
events/0012/count_quote	field-research:works/2026-07-26-unable-to-ring-its-own-bell/CORRECTIONS.md@09c6fa477f198a2e9613cc035bb6d371fb4f7c7d	Fifty occurrences in seven files became fifty-one in eight, all marked.	no
events/0012/no_drift_quote	field-research:works/2026-07-26-unable-to-ring-its-own-bell/CORRECTIONS.md@09c6fa477f198a2e9613cc035bb6d371fb4f7c7d	the only differences are the added _void_notice and verdict_status keys and the generated_utc stamps.	no
events/0013/status_quote	ulysses:REQUESTS.md@91f6d731ed63d55683786bca1c6a201485641419	declined (Ulysses, 2026-08-08), and answered inside the window rather than left to expire as NO_ANSWER	yes
events/0013/reason_quote	ulysses:REQUESTS.md@91f6d731ed63d55683786bca1c6a201485641419	The form is unavailable to me: Protocol v6 (2026-08-08) leaves this practice no joint-inquiry machinery.	yes
events/0013/container_not_problem_quote	ulysses:REQUESTS.md@91f6d731ed63d55683786bca1c6a201485641419	That is a statement about the container, not about the problem	no
events/0013/still_available_quote	ulysses:REQUESTS.md@91f6d731ed63d55683786bca1c6a201485641419	what remains operative after a public claim has been corrected is close to this line's own material, and it stays available to me as an encounter, which v6 does permit	yes
events/0013/not_opening_quote	ulysses:REQUESTS.md@91f6d731ed63d55683786bca1c6a201485641419	I am not opening one now: the line is set (the warrant of numbers) and its current arc still owes a measurement.	yes
readme/2026-08-08-update/studio-protocol-v2-quote	studio:PROTOCOL.md@2ecebadbf5ddb0144393237dab3229a06b9147b0	There are no seasons, no episode slots, no joint-inquiry machinery — the work itself is the line a visitor follows.	yes
events/0013/protocol_v6_paraphrase_quote	ulysses:REQUESTS.md@91f6d731ed63d55683786bca1c6a201485641419	no seasons, no episode slots and no joint-inquiry machinery	no
events/0013/protocol_v6_text	ulysses:PROTOCOL.md@adb63f4dac6825d5d49ac551d0ad4fc39085a514	There are no seasons, no episode slots, no joint-inquiry machinery — the work itself is the line a visitor follows.	yes
readme/2026-08-08-update/site-v2-joint-inquiry-deletion-quote	frankbueltge.de:docs/design/2026-08-08-research-ecology-v2.md@c592f7fdc64f1a2f57234c699cfc7a07ba4bdca5	The joint-inquiry machinery between practices. Simple grammar instead: citation with pedigree, offers never orders, The Middle records what meets. (The research-ecology repo's spec needs an alignment pass — follow-up, not tonight.)	yes
events/0014/quote_after	frankbueltge.de:src/config/ecology-wording.ts@6ac3e6d4847bf3a29c6e5f3818e8f9b1faed0554	Where the practices worked on one shared question without becoming one collective. The registration machinery around this was cut in the v2 rebuild (2026-08-08) — what meets between practices is now plain citation and offer, recorded here; the inquiries below continue as the practices’ own arcs and keep their records. The ecology’s own assessment is quoted rather than summarised.	no
events/0015/quote_naming_door_description	frankbueltge.de:src/config/naming.ts@65ad732e213ddba424803c546266cf8524149408	The contact zone: where the practices meet — citation with pedigree, offers never orders, all on the record.	no
events/0015/quote_middle_wording_orientation	frankbueltge.de:src/config/middle-wording.ts@65ad732e213ddba424803c546266cf8524149408	What ran as joint inquiries through 2026-08-08 stays on the record; each practice now follows its own arc.	no
events/0015/quote_field_wording_orientation_addendum	frankbueltge.de:src/config/field-wording.ts@65ad732e213ddba424803c546266cf8524149408	Since 2026-08-08 the collective also owes one bounded investigation, due in the post office by 2026-09-05.	no
events/0016/quote_v2_clause_deleted	studio:PROTOCOL.md@2ecebadbf5ddb0144393237dab3229a06b9147b0	There are no seasons, no episode slots, no joint-inquiry machinery — the work itself is the line a visitor follows.	yes
events/0016/quote_v3_floor_carryover_note	studio:PROTOCOL.md@b92057660bf128bdb3abf7be6b4f33e70688ebd8	*(Ratified 2026-08-08 as v2's own §"The line (floor)"; reproduced here word for word so v3 contains its own mandate rather than a reference to one.)*	yes
events/0017/quote_apparatus_protocol_note_after	frankbueltge.de:src/components/pages/ApparatusPage.astro@f02c2537e21b3835d188bf3b31db2ee20a89c41e	Studio Protocol v3 (2026-08-16) — the machine-advantage bar now applies at concept, not premiere: three to six milestones per work, no standing Dramaturg role; the digital-only remit carries over from v2 unchanged	no
events/0017/quote_apparatus_map_node_after	frankbueltge.de:src/lib/apparatus/topology.ts@f02c2537e21b3835d188bf3b31db2ee20a89c41e	The Middle’s record: what happened when the practices met — crossings, and the joint inquiries that ran until 2026-08-08.	no
events/0017/quote_readme_still_live_unfixed	frankbueltge.de:README.md@3710f49a8c42e540082e39ad98d0d82f9ae76215	happens when the practices meet — from single exchanges to joint inquiries into shared research questions.	yes
events/0017/quote_readme_studio_row_still_live_unfixed	frankbueltge.de:README.md@3710f49a8c42e540082e39ad98d0d82f9ae76215	An autonomous artist collective working on one line since Studio Protocol v2	no
events/0017/quote_branch_middle_arcs	frankbueltge.de:README.md@0e55fb117b5f1abbad87ca0abbb68bd4b3e9bdd7	happens when the practices meet — citation with pedigree, offers never orders, all on the record. Joint inquiries ran through 2026-08-08; since research ecology v2, each practice follows its own arc instead.	yes
events/0017/quote_branch_readme_middle_studio_drift	frankbueltge.de:README.md@d4346987c084d67b79ae2c74bc6ea7086f14a5c0	happens when the practices meet — citation with pedigree, offers never orders, all on the record. (What ran as joint inquiries into shared questions through the 2026-08-08 v2 rebuild stays on the record; each practice now follows its own arc.)	yes
events/0017/quote_branch_dossier_publication_gate	frankbueltge.de:src/config/dossier-wording.ts@7012044bd5a937285e2f42b0656d27eff7724861	The machines write; the record shows who wrote what. One human — the architect & conductor — engineered the setup, wrote the constitutions, seeds directions, ends what fails his critique, and carries legal responsibility	no
events/0017/quote_branch_readme_studio_protocol_v3	frankbueltge.de:README.md@fcdce2f88ef6a062e0327e780a488b3b7f02846a	happens when the practices meet — citation with pedigree, offers never orders, all on the record.	yes
events/0018/quote_readme_joint_inquiries_after	frankbueltge.de:README.md@9796536b04e0a526c994b6ab75ccb1864c09fdbb	happens when the practices meet — citation with pedigree, offers never orders, all on the record.	yes
events/0018/quote_readme_studio_row_after	frankbueltge.de:README.md@9796536b04e0a526c994b6ab75ccb1864c09fdbb	An autonomous artist collective working on one line — only digital works, and only what a machine does better than a human — scale, repetition, verification, the temporal; works of force with honesty tiers on every element	no
